X,order,family,common_name,Binomial,rts,exp.testes,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
61,Rodentia,Bathyergidae,Cape Dune Mole-rat,Bathyergus_suillus,0.535651874,4.112559118,2.2029,0.343,Ramm 2005,750,2.875,Ramm 2005,2.89,1.5,1.5,Capellini 2015; Myrhvold 2015,NA,,no,Heldstab 2019
62,Rodentia,Muridae,Mindanao Batomys,Batomys_salomonseni,1.00166916,1.553407115,1.556,0.192,Breed 2000,194,2.288,Breed 2000,NA,NA,NA,NA,NA,,NA,
63,Rodentia,Muridae,Bower's Berylmys,Berylmys_bowersi,5.228832716,2.759889403,14.431,1.159,Breed 2000,431,2.634,Breed 2000,3.88,NA,2.9,Capellini 2015,NA,,NA,
64,Diprotodontia,Potoroidae,Eastern Bettong,Bettongia_gaimardi,0.780106809,7.359505054,5.7412,0.759,Rose 1997,1683,3.226,Rose 1997,1,3.25,11.8,Capellini 2015,NA,,NA,NA
65,Diprotodontia,Potoroidae,Woylie,Bettongia_penicillata,0.363403748,4.587734745,1.6672,0.222,Birkhead 1998,873,2.941,Birkhead 1998,1,3,18.8,Capellini 2015,NA,,NA,NA
66,Artiodactyla,Bovidae,European Bison,Bison_bonasus,0.924808884,550.7417897,509.3309,2.707,Ginsberg 1990,674528,5.829,Ginsberg 1990,1,1,27,Capellini 2015,promiscuous,Ginsberg 1990,NA,NA
67,Artiodactyla,Bovidae,Aurochs,Bos_taurus,1.298241239,524.555822,681,2.297,Gage 2003,630400,5.954,Gage 2003,1,1,20,Capellini 2015,polygynous,Anderson 2004; Lazo 1995; Bailey 2003,no,Heldstab 2019
68,Artiodactyla,Bovidae,Aurochs,Bos_taurus,0.29245012,677.5606716,198.1527,2.297,Anderson 2004,899498,5.954,Anderson 2004,1,1,20,Capellini 2015,polygynous,Anderson 2004; Lazo 1995; Bailey 2003,no,Heldstab 2019
69,Chiroptera,Phyllostomidae,Antillean Fruit-eating Bat,Brachyphylla_cavernarum,0.128418838,0.49836925,0.064,-1.194,Pitnick 2006,40,1.603,Pitnick 2006,1,1.5,NA,Capellini 2015,NA,,NA,NA
70,Artiodactyla,Bovidae,Takin,Budorcas_taxicolor,0.346235214,269.5433517,93.3254,1.97,Anderson 2004,250035,5.398,Anderson 2004,1.22,1,21.9,Capellini 2015,promiscuous,Anderson 2004,NA,NA
