X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
524,Rodentia,Muridae,Sandy Inland Pseudomys,Pseudomys_hermannsburgensis,0.14,-0.788,Breed 2000,15,1.255,Breed 2000,2,NA,0.92,Capellini 2015; Myrhvold et al 2015,promiscuous,Sinervo 2020,NA,
525,Rodentia,Muridae,Sandy Inland Pseudomys,Pseudomys_hermannsburgensis,0.163,-0.788,Hayward 2011; Gage 2003,18,1.255,Hayward 2011; Gage 2003,2,NA,0.92,Capellini 2015; Myrhvold et al 2015,promiscuous,Sinervo 2020,NA,
526,Rodentia,Muridae,Western Chestnut Pseudomys,Pseudomys_nanus,1.9,0.273,Breed 2000,74,1.892,Breed 2000,3,NA,NA,Capellini 2015,NA,,NA,
527,Rodentia,Muridae,Western Chestnut Pseudomys,Pseudomys_nanus,1.874,0.273,Hayward 2011; Gage 2003,78,1.892,Hayward 2011; Gage 2003,3,NA,NA,Capellini 2015,NA,,NA,
528,Rodentia,Muridae,New Holland Pseudomys,Pseudomys_novaehollandiae,0.071,-1.149,Hayward 2011; Breed 2000; Gage 2003,19,1.279,Hayward 2011; Breed 2000; Gage 2003,4.43,4,4,Capellini 2015; Myrhvold et al 2015,promiscuous,Sinervo 2020,NA,
529,Rodentia,Muridae,Pilliga Pseudomys,Pseudomys_pilligaensis,0.052,-1.284,Breed 2000,11,1.041,Breed 2000,3,NA,1.5,Capellini 2015; Myrhvold et al 2015,NA,,NA,
530,Rodentia,Muridae,Heath Pseudomys,Pseudomys_shortridgei,0.345,-0.462,Hayward 2011,78,1.892,Hayward 2011,3,1,6,Capellini 2015,promiscuous,Sinervo 2020,no,Sinervo 2020
531,Cetacea,Delphinidae,False Killer Whale,Pseudorca_crassidens,14791.0839,4.17,Dines 2015,1361445,6.134,Dines 2015,0.97,0.14,62.5,Capellini 2015,NA,,NA,NA
532,Chiroptera,Mormoopidae,Davy's Naked-backed Bat,Pteronotus_davyi,0.1742,-0.759,Pitnick 2006,9,0.964,Pitnick 2006,0.99,1,NA,Capellini 2015,NA,,NA,NA
533,Chiroptera,Pteropodidae,Black Flying Fox,Pteropus_alecto,5.1,0.407,Gage 2003,800,2.903,Gage 2003,1,1,19.7,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
534,Chiroptera,Pteropodidae,Black Flying Fox,Pteropus_alecto,2.5527,0.407,Ramm 2007,800,2.903,Ramm 2007,1,1,19.7,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
535,Chiroptera,Pteropodidae,Indian Flying Fox,Pteropus_giganteus,2.1979,0.342,Anderson 2004,1449,3.161,Anderson 2004,0.99,1,40,Capellini 2015,promiscuous,Anderson 2004; Hosken 2001,NA,NA
536,Chiroptera,Pteropodidae,Gray-headed Flying Fox,Pteropus_poliocephalus,6.75,0.829,Ramm 2007,677,2.925,Ramm 2007,1,1,23.6,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006; McCracken 2000,NA,NA
