X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
121,Chiroptera,Vespertilionidae,Gould's Wattled Bat,Chalinolobus_gouldii,0.0145,-2,Ramm 2007; Gage 2003,14,1.13,Ramm 2007; Gage 2003,1.41,1,7.6,Capellini 2015; Myrhvold et al 2015,NA,,no,Lukas 2019
122,Primates,Cheirogaleidae,Greater Dwarf Lemur,Cheirogaleus_major,2.3014,0.362,Harcourt 1995,340,2.531,Harcourt 1995,2.26,NA,15,Capellini 2015,polygynous,Pantheria; Lukas 2013; Lukas 2012,NA,NA
123,Rodentia,Chinchillidae,Long-tailed Chinchilla,Chinchilla_lanigera,5.2,0.716,Hayward 2011,422,2.626,Hayward 2011,1.87,2,17.2,Capellini 2015,NA,,no,Heldstab 2019
124,Rodentia,Muridae,Indomalayan Pencil-tailed Tree Mouse,Chiropodomys_gliroides,0.38,-0.42,Breed 2000,22,1.342,Breed 2000,1.65,NA,3.6,Capellini 2015,NA,,NA,
125,Rodentia,Muridae,Lesser Chiruromys,Chiruromys_vates,1.744,0.242,Breed 2000,48,1.681,Breed 2000,1.07,NA,NA,Capellini 2015,NA,,NA,
126,Primates,Cercopithecidae,Grivet,Chlorocebus_aethiops,13,1.314,Gage 2003,4950,3.723,Gage 2003,1,1,31.6,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995; Lupold 2018,no,Heldstab 2019; Lukas 2019
127,Primates,Cercopithecidae,Grivet,Chlorocebus_aethiops,20.6063,1.314,Hayward 2011,5284,3.723,Hayward 2011,1,1,31.6,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995; Lupold 2018,no,Heldstab 2019; Lukas 2019
128,Chiroptera,Phyllostomidae,Woolly False Vampire Bat,Chrotopterus_auritus,0.182,-0.74,Pitnick 2006,92,1.964,Pitnick 2006,0.99,1,NA,Capellini 2015,monogamous,Hosken 2001; Pitnick 2006; Lukas 2013,NA,NA
129,Carnivora,Canidae,Maned Wolf,Chrysocyon_brachyurus,12.6765,1.103,Iossa 2008,31477,4.498,Iossa 2008,2,NA,16.8,Capellini 2015,monogamous,Iossa 2008; Pantheria; Lukas 2013,yes,Heldstab 2019
130,Rodentia,Erethizontidae,Brazilian Porcupine,Coendou_prehensilis,2.4491,0.389,Anderson 2004,3027,3.481,Anderson 2004,0.98,1.11,26.6,Capellini 2015; Myrhvold 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,NA,NA
131,Chiroptera,Emballonuridae,African Sheath-tailed Bat,Coleura_afra,0.03,-1.523,Pitnick 2006,10,1,Pitnick 2006,1,1.5,NA,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006,NA,NA
132,Primates,Cercopithecidae,Mantled Guereza,Colobus_guereza,2.9785,0.474,Harcourt 1995,10399,4.017,Harcourt 1995,1,0.59,35,Capellini 2015,promiscuous,Harcourt 1995,no,Heldstab 2019; Lukas 2019
133,Primates,Cercopithecidae,King Colobus,Colobus_polykomos,13.7088,1.137,Hayward 2011,9840,3.993,Hayward 2011,1,0.55,33.9,Capellini 2015,promiscuous,Kenagy 1986; Harcourt 1995,no,Heldstab 2019
134,Rodentia,Muridae,Brush-tailed Conilurus,Conilurus_penicillatus,4.388,0.642,Ramm 2007; Breed 2000,184,2.265,Ramm 2007; Breed 2000,2,NA,5,Capellini 2015,NA,,NA,
135,Artiodactyla,Bovidae,Black Wildebeest,Connochaetes_gnou,137.0882,2.137,Ginsberg 1990,136144,5.134,Ginsberg 1990,1,NA,21.8,Capellini 2015,promiscuous,Ginsberg 1990,NA,NA
136,Artiodactyla,Bovidae,Blue Wildebeest,Connochaetes_taurinus,306,2.486,Ginsberg 1990,227000,5.356,Ginsberg 1990,0.98,1,24.3,Capellini 2015,promiscuous,Ginsberg 1990,no,Heldstab 2019; Lukas 2019
137,Chiroptera,Vespertilionidae,Rafinesque's Big-eared Bat,Corynorhinus_rafinesquii,0.377,-0.42,Gage 2003; Ramm 2007,9,0.959,Gage 2003; Ramm 2007,1,1,10.1,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,
138,Soricomorpha,Soricidae,Greater White-toothed Shrew,Crocidura_russula,0.04,-1.398,Soulsbury 2010,14.2,1.152,Soulsbury 2010,4.04,3.5,4,Capellini 2015,monogamous,Soulsbury 2010,no,Lukas 2019
139,Soricomorpha,Soricidae,Lesser White-toothed Shrew,Crocidura_suaveolens,0.1,-1,Hayward 2011,7,0.875,Hayward 2011,3.49,3.5,4,Capellini 2015,NA,,NA,NA
140,Carnivora,Hyaenidae,Spotted Hyena,Crocuta_crocuta,9.85,0.993,Soulsbury 2010,45000,4.653,Soulsbury 2010,1.91,1,41.1,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010,no,Heldstab 2019; Lukas 2019
141,Rodentia,Bathyergidae,Southern African Mole-rat,Cryptomys_hottentotus,0.58,-0.237,Soulsbury 2010,104,2.017,Soulsbury 2010,2.48,2,11,Capellini 2015,monogamous,Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012,NA,
142,Carnivora,Eupleridae,Fossa,Cryptoprocta_ferox,11.1429,1.047,Anderson 2004,10691,4.029,Anderson 2004,2.98,1,23.1,Capellini 2015,promiscuous,Ferguson 2004; Iossa 2008,no,Heldstab 2019
143,Rodentia,Ctenomyidae,Los Talas Tuco-tuco,Ctenomys_talarum,0.3,-0.5,Hayward 2011; Soulsbury 2010,136,2.127,Hayward 2011; Soulsbury 2010,4.34,1.5,3,Capellini 2015,polygynous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019
144,Carnivora,Canidae,Dhole,Cuon_alpinus,6.3533,0.803,Anderson 2004,17865,4.252,Anderson 2004,4.3,1,21.8,Capellini 2015,monogamous; polygynous,Lukas 2013; Lukas 2012,yes,Heldstab 2019; Lukas 2019
145,Carnivora,Herpestidae,Yellow Mongoose,Cynictis_penicillata,1.98,0.297,Soulsbury 2010,900,2.954,Soulsbury 2010,2.15,2,15.2,Capellini 2015,polygynous,Iossa 2008; Soulsbury 2010; Lukas 2013; Lukas 2012,yes,LH19; Held19
146,Chiroptera,Molossidae,Search Results,Cynomops_abrasus,0.1849,-0.733,Pitnick 2006,8,0.903,Pitnick 2006,0.98,NA,NA,Capellini 2015,NA,,NA,NA
147,Rodentia,Sciuridae,Black-tailed Prairie Dog,Cynomys_ludovicianus,4,0.602,Soulsbury 2010,1050,3.021,Soulsbury 2010,4.43,1,11,Capellini 2015,polygynous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019; Lukas 2019
148,Chiroptera,Pteropodidae,Lesser Short-nosed Fruit Bat,Cynopterus_brachyotis,0.1199,-0.921,Ramm 2007,31,1.498,Ramm 2007,0.99,2,10.1,Capellini 2015,NA,,NA,NA
149,Chiroptera,Pteropodidae,Greater Short-nosed Fruit Bat,Cynopterus_sphinx,0.1799,-0.745,Ramm 2007,37,1.57,Ramm 2007,1.5,2,10,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
150,Carnivora,Phocidae,Hooded Seal,Cystophora_cristata,108.1434,2.034,Fitzpatrick 2012,256448,5.409,Fitzpatrick 2012,1,1,35,Capellini 2015,monogamous,Lukas 2012; Ferguson 2004,no,Lukas 2019
151,Diprotodontia,Petauridae,Striped Possum,Dactylopsila_trivirgata,0.25,-0.602,Birkhead 1998,467,2.669,Birkhead 1998,1.54,1.1,9.6,Capellini 2015; Myrhvold 2015,NA,,NA,NA
152,Artiodactyla,Cervidae,Fallow Deer,Dama_dama,39.9945,1.602,Anderson 2004,59566,4.775,Anderson 2004,1,1,25,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
153,Artiodactyla,Cervidae,Fallow Deer,Dama_dama,133,1.602,Gage 2003,63700,4.775,Gage 2003,1,1,25,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
154,Artiodactyla,Bovidae,Bontebok (see comments,Damaliscus_pygargus,160,2.204,Ginsberg 1990,72500,4.86,Ginsberg 1990,1.41,1.1,23,Capellini 2015; Myrhvold et al 2015,promiscuous,Ginsberg 1990,NA,
155,Dasyuromorphia,Dasyuridae,Little Red Kaluta,Dasykaluta_rosamondae,0.1259,-0.9,Birkhead 1998,35,1.548,Birkhead 1998,6.64,1,3,Capellini 2015,NA,,NA,NA
156,Rodentia,Muridae,Common Dasymys,Dasymys_incomtus,3.048,0.484,Hayward 2011,242,2.384,Hayward 2011,2.67,NA,1,Capellini 2015; Myrhvold et al 2015,NA,,NA,
157,Dasyuromorphia,Dasyuridae,Kowari,Dasyuroides_byrnei,1.3804,0.14,Birkhead 1998,124,2.092,Birkhead 1998,5.14,2,8,Capellini 2015,NA,,NA,NA
158,Dasyuromorphia,Dasyuridae,Northern Quoll,Dasyurus_hallucatus,1.349,0.13,Birkhead 1998,940,2.973,Birkhead 1998,6.39,1,5.9,Capellini 2015,NA,,no,Lukas 2019
159,Dasyuromorphia,Dasyuridae,Eastern Quoll,Dasyurus_viverrinus,2.355,0.372,Birkhead 1998,1524,3.183,Birkhead 1998,4.7,1,6.8,Capellini 2015,NA,,no,Lukas 2019
160,Cetacea,Monodontidae,Beluga,Delphinapterus_leucas,1663.4127,3.221,Dines 2015,1253141,6.098,Dines 2015,1.02,0.41,40,Capellini 2015,NA,,NA,NA
161,Cetacea,Delphinidae,Long-beaked Common Dolphin,Delphinus_capensis,6412.0958,3.807,Dines 2015,127057,5.104,Dines 2015,0.99,0.42,20,Myrhvold 2015,NA,,NA,NA
162,Cetacea,Delphinidae,Short-beaked Common Dolphin,Delphinus_delphis,1610.6456,3.207,Hayward 2011,83946,4.924,Hayward 2011,0.98,0.42,20,Capellini 2015,NA,,NA,NA
163,Chiroptera,Phyllostomidae,Pygmy Fruit-eating Bat,Dermanura_phaeotis,0.0511,-1.292,Pitnick 2006,12,1.079,Pitnick 2006,0.99,2,NA,Capellini 2015,NA,,NA,NA
164,Chiroptera,Phyllostomidae,Common Vampire Bat,Desmodus_rotundus,0.083,-1.081,Pitnick 2006,34,1.528,Pitnick 2006,1,1.26,29.2,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006,NA,NA
165,Rodentia,Cricetidae,Nearctic Collared Lemming,Dicrostonyx_groenlandicus,0.138,-0.86,Hayward 2011,62,1.792,Hayward 2011,3.78,2,3.3,Capellini 2015,NA,,no,Lukas 2019
166,Didelphimorphia,Didelphidae,White-eared Opossum,Didelphis_albiventris,1.762,0.246,Birkhead 1998,1291,3.111,Birkhead 1998,6.9,1.5,1.7,Capellini 2015,NA,,NA,NA
167,Didelphimorphia,Didelphidae,Virginia Opossum,Didelphis_virginiana,2.9992,0.477,Anderson 2004,3750,3.574,Anderson 2004,8.62,2,6.6,Capellini 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,no,Lukas 2019
168,Rodentia,Heteromyidae,Merriam's Kangaroo Rat,Dipodomys_merriami,0.4498,-0.347,Hayward 2011,39,1.587,Hayward 2011,2.39,1.75,9.7,Capellini 2015,promiscuous,Waterman 2007,no,Heldstab 2019
169,Rodentia,Heteromyidae,Chisel-toothed Kangaroo Rat,Dipodomys_microps,0.3999,-0.398,Hayward 2011,62,1.789,Hayward 2011,2.37,1,3.658333333,Capellini 2015; Myrhvold 2015,NA,,no,Heldstab 2019
170,Rodentia,Heteromyidae,Ord's Kangaroo Rat,Dipodomys_ordii,0.5297,-0.276,Hayward 2011,56,1.751,Hayward 2011,2.95,2,9.9,Capellini 2015,NA,,no,Heldstab 2019
171,Rodentia,Heteromyidae,Panamint Kangaroo Rat,Dipodomys_panamintinus,0.52,-0.284,Hayward 2011,76,1.883,Hayward 2011,3.78,1,4.533333333,Capellini 2015; Myrhvold 2015,NA,,NA,NA
172,Chiroptera,Phyllostomidae,Honduran White Bat,Ectophylla_alba,0.0791,-1.102,Pitnick 2006,5,0.74,Pitnick 2006,0.99,2,NA,Capellini 2015,polygynous,Hosken 2001,NA,NA
173,Chiroptera,Pteropodidae,African Straw-colored Fruit Bat,Eidolon_helvum,2.8314,0.452,Ramm 2007,259,2.413,Ramm 2007,1.08,1,21.8325,Capellini 2015,promiscuous,Hosken 2001,NA,NA
174,Artiodactyla,Cervidae,Pere David's Deer,Elaphurus_davidianus,57.4116,1.759,Anderson 2004,213796,5.33,Anderson 2004,1.22,1,27.5,Capellini 2015,promiscuous,Anderson 2004,NA,NA
175,Proboscidea,Elephantidae,Asian Elephant,Elephas_maximus,4000,3.458,Gage 2003,4545000,6.658,Gage 2003,1.41,0.23,78,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990; Rasmussen 1998; Poole1989,no,Heldstab 2019
176,Proboscidea,Elephantidae,Asian Elephant,Elephas_maximus,2870.7806,3.458,Anderson 2004,4549881,6.658,Anderson 2004,1.41,0.23,78,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990; Rasmussen 1998; Poole 1989,no,Heldstab 2019
177,Chiroptera,Pteropodidae,Lesser Dawn Bat,Eonycteris_spelaea,0.3999,-0.398,Ramm 2007,62,1.792,Ramm 2007,1,2,5,Capellini 2015,polygynous,Hosken 2001; Lukas 2013,NA,NA
178,Chiroptera,Pteropodidae,Peters's Epauletted Fruit Bat,Epomophorus_crypturus,0.8995,-0.046,Pitnick 2006,80,1.903,Pitnick 2006,0.99,1.5,7.8,Capellini 2015; Myrhvold 2015,NA,,NA,NA
179,Chiroptera,Pteropodidae,Franquet's Epauletted Fruit<b> </b>Bat,Epomops_franqueti,0.2992,-0.524,Pitnick 2006,160,2.204,Pitnick 2006,1,2,3.158333333,Capellini 2015; Myrhvold 2015,polygynous,Hosken 2001,NA,NA
180,Chiroptera,Vespertilionidae,Argentinian Brown Bat,Eptesicus_furinalis,0.06,-1.222,Ramm 2007,8,0.877,Ramm 2007,1.86,2,NA,Capellini 2015,NA,,NA,NA
181,Perissodactyla,Equidae,Ass,Equus_africanus,202.3019,2.306,Anderson 2004,289734,5.462,Anderson 2004,1,1,47,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
182,Perissodactyla,Equidae,Horse,Equus_caballus,339.6253,2.531,Anderson 2004,250035,5.398,Anderson 2004,1,1,62,Capellini 2015,promiscuous,Linklater 1999; Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
183,Perissodactyla,Equidae,Horse,Equus_caballus,416,2.531,Gage 2003,450000,5.398,Gage 2003,1,1,62,Capellini 2015,promiscuous,Linklater 1999; Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
184,Perissodactyla,Equidae,Grevy's Zebra,Equus_grevyi,1150,3.061,Ginsberg 1990,386000,5.587,Ginsberg 1990,1,0.5,31,Capellini 2015,promiscuous,Ginsberg 1990,NA,
185,Perissodactyla,Equidae,Kiang,Equus_kiang,162.181,2.21,Anderson 2004,349945,5.544,Anderson 2004,1,0.5,30.1,Myrhvold 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,NA,NA
186,Perissodactyla,Equidae,Burchell's Zebra,Equus_quagga,301.9952,2.48,Ginsberg 1990,238232,5.377,Ginsberg 1990,1,0.64,40,Capellini 2015,polygynous,Pantheria; Lukas 2012; Lukas 2013,no,Lukas 2019
187,Perissodactyla,Equidae,Mountain Zebra,Equus_zebra,139.9587,2.146,Anderson 2004,343558,5.536,Anderson 2004,1,0.35,33.2,Capellini 2015,polygynous,Anderson 2004; Lukas 2013; Lukas 2012; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
188,Carnivora,Phocidae,Bearded Seal,Erignathus_barbatus,128.5287,2.109,Fitzpatrick 2012,269774,5.431,Fitzpatrick 2012,1,1,31.4525,Capellini 2015,promiscuous,Ferguson 2004,no,Heldstab 2019
189,Erinaceomorpha,Erinaceidae,West European Hedgehog,Erinaceus_europaeus,2.31,0.494,Gage 2003,665,2.845,Gage 2003,4.64,1.5,14,Capellini 2015,promiscuous,Anderson 2004; Soulsbury 2010,no,Heldstab 2019
190,Erinaceomorpha,Erinaceidae,West European Hedgehog,Erinaceus_europaeus,3.1189,0.494,Anderson 2004,700,2.845,Anderson 2004,4.64,1.5,14,Capellini 2015,promiscuous,Anderson 2004; Soulsbury 2010,no,Heldstab 2019
191,Primates,Cercopithecidae,Patas Monkey,Erythrocebus_patas,7.2,0.857,Ramm 2007,10000,4,Ramm 2007,1.01,0.97,28.3,Capellini 2015,promiscuous,Moller 1988; Harcourt 1995,no,Heldstab 2019; Lukas 2019
192,Cetacea,Eschrichtiidae,Gray Whale,Eschrichtius_robustus,67452.8028,4.829,Macleod 2010,25003454,7.398,Macleod 2010,1,0.5,77,Capellini 2015,NA,,NA,NA
193,Cetacea,Balaenidae,North Pacific Right Whale,Eubalaena_japonica,972747.2238,5.988,Dines 2015,78523563,7.895,Dines 2015,1,0.29,67,Myrhvold 2015,NA,,NA,NA
194,Chiroptera,Vespertilionidae,Spotted Bat,Euderma_maculatum,0.0661,-1.18,Pitnick 2006,15,1.176,Pitnick 2006,1,NA,NA,Capellini 2015,NA,,NA,NA
195,Artiodactyla,Bovidae,Red-fronted Gazelle,Eudorcas_rufifrons,7.9068,0.898,Anderson 2004,26792,4.428,Anderson 2004,1,1.5,14.5,Capellini 2015; Myrhvold 2015,promiscuous,Anderson 2004,NA,NA
196,Primates,Lemuridae,Brown Lemur,Eulemur_fulvus,7.7804,0.891,Soulsbury 2010,2500,3.398,Soulsbury 2010,1.1,2,37,Capellini 2015,polygynous,Soulsbury 2010; Ostner 1999,no,Heldstab 2019; Lukas 2019
197,Primates,Lemuridae,Black Lemur,Eulemur_macaco,16.6341,1.221,Harcourt 1995,2500,3.398,Harcourt 1995,1.04,1,36.2,Capellini 2015,promiscuous,Harcourt 1995,no,Heldstab 2019; Lukas 2019
198,Carnivora,Otariidae,Steller Sea Lion,Eumetopias_jubatus,177.8279,2.25,Ramm 2007,968278,5.986,Ramm 2007,0.96,1,32.8,Capellini 2015,polygynous,Ferguson 2004,no,Heldstab 2019; Lukas 2019
199,Carnivora,Felidae,Domestic Cat,Felis_catus,3.61,0.558,Soulsbury 2010,4770,3.679,Soulsbury 2010,4,1.5,34,Capellini 2015,polygynous,Iossa 2008; Soulsbury 2010,no,Lukas 2019
200,Carnivora,Felidae,Jungle Cat,Felis_chaus,4.6238,0.665,Iossa 2008,8072,3.907,Iossa 2008,2.94,2,20,Capellini 2015,NA,,no,Heldstab 2019
201,Carnivora,Felidae,Black-footed Cat,Felis_nigripes,2.1135,0.325,Iossa 2008,1982,3.297,Iossa 2008,1.78,4,15.6,Capellini 2015,polygynous,Iossa 2008,yes,Heldstab 2019
202,Carnivora,Felidae,Wildcat,Felis_silvestris,2.7416,0.438,Anderson 2004,2742,3.438,Anderson 2004,3.59,2,28,Capellini 2015,promiscuous,Anderson 2004; Iossa 2008; Ferguson 2004,no,Heldstab 2019
203,Cetacea,Delphinidae,Pygmy Killer Whale,Feresa_attenuata,753.3556,2.877,Dines 2015,226986,5.356,Dines 2015,1,NA,21,Capellini 2015; Myrhvold 2015,NA,,NA,NA
204,Rodentia,Sciuridae,Indian Palm Squirrel,Funambulus_palmarum,2.26,0.354,Hayward 2011,144,2.157,Hayward 2011,2.62,NA,5.5,Capellini 2015; Myrhvold et al 2015,NA,,NA,NA
205,Primates,Galagidae,Senegal Bushbaby,Galago_senegalensis,1.6596,0.22,Anderson 2004,210,2.322,Anderson 2004,1.5,2,18.833,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
206,Primates,Galagidae,Prince Demidoff's bushbaby,Galagoides_demidovii,0.9795,-0.009,Anderson 2004,81,1.908,Anderson 2004,NA,NA,NA,NA,promiscuous,Anderson 2004,NA,NA
207,Carnivora,Eupleridae,Ring-tailed Mongoose,Galidia_elegans,1.6943,0.229,Iossa 2008,993,2.997,Iossa 2008,1,1,26,Capellini 2015,monogamous; polygynous,Iossa 2008; Pantheria; Lukas 2013; Lukas 2012,yes,Heldstab 2019
208,Artiodactyla,Bovidae,Cuvier's Gazelle,Gazella_cuvieri,39.355,1.595,Anderson 2004,26485,4.423,Anderson 2004,1.46,NA,17.9,Capellini 2015,polygynous,Anderson 2004; Alados 1994,NA,NA
209,Artiodactyla,Bovidae,Dorcas Gazelle,Gazella_dorcas,31.4775,1.498,Anderson 2004,14622,4.165,Anderson 2004,1.22,1,23.7,Capellini 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013; Pantheria,no,Heldstab 2019; Lukas 2019
210,Artiodactyla,Bovidae,Slender-horned Gazelle,Gazella_leptoceros,6.6527,0.823,Anderson 2004,11508,4.061,Anderson 2004,1,NA,14.6,Capellini 2015,promiscuous,Anderson 2004,NA,NA
211,Artiodactyla,Bovidae,Goitered Gazelle,Gazella_subgutturosa,8.2414,0.916,Anderson 2004,25003,4.398,Anderson 2004,1.39,1,20,Capellini 2015,promiscuous,Anderson 2004,NA,NA
212,Carnivora,Viverridae,Common Genet,Genetta_genetta,0.9594,-0.018,Iossa 2008,1888,3.276,Iossa 2008,2.29,2,34,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004; Lukas 2013; Lukas 2012,no,Heldstab 2019
213,Rodentia,Muridae,Cape Gerbil,Gerbilliscus_afra,7.7446,0.889,Hayward 2011,92,1.964,Hayward 2011,3.92,6.5,5.7,Capellini 2015,NA,,NA,NA
214,Rodentia,Muridae,Highveld Gerbil,Gerbilliscus_brantsii,5.3088,0.725,Hayward 2011,94,1.973,Hayward 2011,2.74,4,0.75,Capellini 2015; Myrhvold 2015,NA,,NA,NA
215,Artiodactyla,Giraffidae,Giraffe,Giraffa_camelopardalis,230.1442,2.362,Anderson 2004,897429,5.953,Anderson 2004,1.29,1,39.5,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
216,Artiodactyla,Giraffidae,Giraffe,Giraffa_camelopardalis,1074,2.362,Gage 2003,1201000,5.953,Gage 2003,1.29,1,39.5,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
217,Cetacea,Delphinidae,Short-finned Pilot Whale,Globicephala_macrorhynchus,14387.9858,4.158,Dines 2015,3597493,6.556,Dines 2015,0.97,0.24,63,Capellini 2015,NA,,NA,NA
218,Cetacea,Delphinidae,Long-finned Pilot Whale,Globicephala_melas,5000.3453,3.699,Hayward 2011,1945360,6.289,Hayward 2011,1,0.2,60,Capellini 2015,NA,,NA,NA
219,Chiroptera,Phyllostomidae,Gray's Long-tongued Bat,Glossophaga_leachii,0.029,-1.538,Pitnick 2006,8,0.924,Pitnick 2006,0.98,2,10.4875,Capellini 2015; Myrhvold 2015,NA,,NA,NA
220,Chiroptera,Phyllostomidae,Western Long-tongued Bat,Glossophaga_morenoi,0.01,-2,Hosken 2001,8,0.924,Hosken 2001,1,NA,NA,Capellini 2015,NA,,NA,NA
221,Primates,Hominidae,Eastern Gorilla,Gorilla_beringei,35.9749,1.556,Soulsbury 2010,199986,5.301,Soulsbury 2010,1,0.3,50.45,Myrhvold 2015,promiscuous,Soulsbury 2010; Lukas 2013,yes,Heldstab 2019
222,Primates,Hominidae,Western Gorilla,Gorilla_gorilla,23.1739,1.365,Hayward 2011,133968,5.127,Hayward 2011,1.05,0.26,55.4,Capellini 2015,polygynous,Pantheria; Kenagy 1986; Moller 1988; Harcourt 1995,yes,Heldstab 2019
223,Primates,Hominidae,Western Gorilla,Gorilla_gorilla,29.6,1.365,Gage 2003,169000,5.127,Gage 2003,1.05,0.26,55.4,Capellini 2015,polygynous,Pantheria; Kenagy 1986; Moller 1988; Harcourt 1995,yes,Heldstab 2019
224,Rodentia,Muridae,Macmillan's Grammomys,Grammomys_macmillani,0.662,-0.179,Breed 2000,40,1.602,Breed 2000,NA,NA,NA,NA,NA,,NA,
225,Cetacea,Delphinidae,Risso's Dolphin,Grampus_griseus,12705.7411,4.104,Dines 2015,500035,5.699,Dines 2015,0.97,0.416666667,42.5,Capellini 2015; Myrhvold 2015,NA,,NA,NA
226,Carnivora,Mustelidae,Wolverine,Gulo_gulo,17,1.23,Soulsbury 2010,14500,4.161,Soulsbury 2010,2.84,0.5,19.5,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010; Pantheria; Ferguson 2004,no,Heldstab 2019
227,Diprotodontia,Petauridae,Leadebeater's Possum,Gymnobelideus_leadbeateri,0.1119,-0.951,Birkhead 1998,116,2.063,Birkhead 1998,1.54,2,14.1,Capellini 2015,polygynous,Lukas 2012; Lukas 2013; Rose 1997,NA,NA
228,Carnivora,Phocidae,Gray Seal,Halichoerus_grypus,159.9558,2.204,Fitzpatrick 2012,250611,5.399,Fitzpatrick 2012,0.96,0.93,46.6725,Capellini 2015,polygynous,Lukas 2012; Ferguson 2004; Pantheria,no,Heldstab 2019; Lukas 2019
229,Chiroptera,Pteropodidae,Philippine Pygmy Fruit Bat,Haplonycteris_fischeri,0.8091,-0.092,Pitnick 2006,18,1.255,Pitnick 2006,1,1,10,Capellini 2015,NA,,NA,NA
230,Carnivora,Herpestidae,Common Dwarf Mongoose,Helogale_parvula,0.45,-0.347,Anderson 2004; Soulsbury 2010,455,2.658,Anderson 2004; Soulsbury 2010,3.49,2.25,18,Capellini 2015,promiscuous,Soulsbury 2010,yes,LH19; Held19
231,Artiodactyla,Bovidae,Himalayan Tahr,Hemitragus_jemlahicus,26.7301,1.427,Anderson 2004,76033,4.881,Anderson 2004,1.01,1,21.8,Capellini 2015,promiscuous,Anderson 2004,NA,NA
232,Carnivora,Felidae,Jaguarundi,Herpailurus_yagouaroundi,3.3037,0.519,Iossa 2008,5902,3.771,Iossa 2008,NA,NA,NA,NA,polygynous,Iossa 2008,NA,NA
233,Carnivora,Herpestidae,Small Asian Mongoose,Herpestes_javanicus,3.9174,0.593,Iossa 2008,693,2.841,Iossa 2008,2.21,2,10,Capellini 2015,promiscuous,Iossa 2008,no,Heldstab 2019
234,Hyracoidea,Procaviidae,Yellow-spotted Rock Hyrax,Heterohyrax_brucei,13.0017,1.114,Hayward 2011,1500,3.176,Hayward 2011,1.89,1,14,Capellini 2015,polygynous,Pantheria,NA,NA
235,Artiodactyla,Hippopotamidae,Common Hippopotamus,Hippopotamus_amphibius,650,2.813,Ginsberg 1990,1600000,6.204,Ginsberg 1990,1,1,61.2,Capellini 2015,polygynous,Pantheria; Lukas 2012; Lukas 2013,no,Heldstab 2019; Lukas 2019
236,Chiroptera,Hipposideridae,Cantor's Leaf-nosed Bat,Hipposideros_galeritus,0.2999,-0.523,Ramm 2007,7,0.813,Ramm 2007,0.99,1,NA,Capellini 2015,monogamous; polygynous,Hosken 2001; Pitnick 2006; Lukas 2013,NA,NA
237,Chiroptera,Hipposideridae,Schneider's Leaf-nosed Bat,Hipposideros_speoris,0.04,-1.398,Ramm 2007,10,1,Ramm 2007,0.99,1,NA,Capellini 2015,NA,,NA,NA
238,Primates,Hominidae,Human,Homo_sapiens,50.2343,1.701,Anderson 2004,63533,4.803,Anderson 2004,1,0.485,122.5,Capellini 2015; Myrhvold et al 2015,polygynous,Anderson 2004; Kenagy 1986; Moller 1988; Harcourt 1995,NA,
239,Primates,Hominidae,Human,Homo_sapiens,40.5,1.701,Gage 2003,65650,4.803,Gage 2003,1,0.485,122.5,Capellini 2015; Myrhvold et al 2015,polygynous,Anderson 2004; Kenagy 1986; Moller 1988; Harcourt 1995,NA,
